# Thermal telescope noise for 331-dish configuration of HERA at z=6 calculated with 21cmSense
# This is just the thermal noise and excludes the EoR model-dependent cosmic variance
# Wavenumbers k are in 1/Mpc, Delta^2(k) is in mK^2, P(k) is in mK^2 * Mpc^3
# The power spectra are related by Delta^2(k) = P(k) * k^3 / (2*pi^2)
# 
# k Delta^2_noise(k) P_noise(k)
1.079833741136532882e-01 6.545060672011866754e-02 1.026059952100420787e+03
1.619750611704799392e-01 1.009474410676521744e-01 4.689003939151235727e+02
2.159667482273065764e-01 1.790898940404514750e-01 3.509458836772145105e+02
2.699584352841332135e-01 3.002613780321790604e-01 3.012579439429787271e+02
3.239501223409598230e-01 4.806024342523338433e-01 2.790495087766269080e+02
3.779418093977865434e-01 7.399714279595073219e-01 2.705639173391784880e+02
4.319334964546131528e-01 1.093369733246456477e+00 2.678219290904178820e+02
4.859251835114397622e-01 1.550061159109682007e+00 2.666676618350575723e+02
5.399168705682664271e-01 2.119944204267841581e+00 2.658725359706101585e+02
5.939085576250929810e-01 2.815369341007435633e+00 2.652811360650750316e+02
6.479002446819197569e-01 3.648892765642782976e+00 2.648295298938816700e+02
7.018919317387464218e-01 4.633070395884343995e+00 2.644769874712962974e+02
7.558836187955730868e-01 5.780457869861463926e+00 2.641965733725236873e+02
8.098753058523996406e-01 7.103610630164615358e+00 2.639699065157347491e+02
8.638669929092263056e-01 8.615083979832466099e+00 2.637841002676854032e+02
9.178586799660529705e-01 1.032743312042301120e+01 2.636299057556133221e+02
9.718503670228795244e-01 1.225321317841662427e+01 2.635005471438680047e+02
1.025842054079706189e+00 1.440497922386830609e+01 2.633909694017721677e+02
1.079833741136532854e+00 1.679528628381181221e+01 2.632973398332702004e+02
1.133825428193359519e+00 1.943668935204595982e+01 2.632167101318199229e+02
1.187817115250186184e+00 2.234174339638422069e+01 2.631467825348610745e+02
1.241808802307012849e+00 2.552300336409780357e+01 2.630857450071244443e+02
1.295800489363839514e+00 2.899302418605312326e+01 2.630321531263816723e+02
1.349792176420665957e+00 3.276436077989306739e+01 2.629848441473210414e+02
1.403783863477492844e+00 3.684956805250907053e+01 2.629428736071974413e+02
1.457775550534319509e+00 4.126120090198091361e+01 2.629054679641656662e+02
1.511767237591146174e+00 4.601181421911266511e+01 2.628719887987451784e+02
1.565758924647972616e+00 5.111396288865958581e+01 2.628419054626303364e+02
1.619750611704799281e+00 5.658020179031547059e+01 2.628147739722903680e+02
1.673742298761625946e+00 6.242308579951352243e+01 2.627902205701728349e+02
1.727733985818452611e+00 6.865516978807980308e+01 2.627679288105150590e+02
1.781725672875279276e+00 7.528900862477105704e+01 2.627476293321659568e+02
1.835717359932105941e+00 8.233715717571860182e+01 2.627290916981837654e+02
1.889709046988932384e+00 8.981217030479817254e+01 2.627121178384675204e+02
1.943700734045759049e+00 9.772660287393831879e+01 2.626965367454929492e+02
1.997692421102585714e+00 1.060930097433806196e+02 2.626822001568546057e+02
2.051684108159412379e+00 1.149239457718987723e+02 2.626689790203012080e+02
2.105675795216238821e+00 1.242319658169840295e+02 2.626567605833324137e+02
