# Thermal telescope noise for 331-dish configuration of HERA at z=14 calculated with 21cmSense
# This is just the thermal noise and excludes the EoR model-dependent cosmic variance
# Wavenumbers k are in 1/Mpc, Delta^2(k) is in mK^2, P(k) is in mK^2 * Mpc^3
# The power spectra are related by Delta^2(k) = P(k) * k^3 / (2*pi^2)
# 
# k Delta^2_noise(k) P_noise(k)
1.108056578091705241e-01 6.019385401215022746e+00 8.733656015088688582e+04
1.477408770788940506e-01 9.012594658990714436e+00 5.516677057567040174e+04
1.846760963486175633e-01 1.396554909161071834e+01 4.376789894450345309e+04
2.216113156183410760e-01 2.117979819842107148e+01 3.841278212071841699e+04
2.585465348880645609e-01 3.194750951198227185e+01 3.648804411705172242e+04
2.954817541577881013e-01 4.687472655116605580e+01 3.586546637357387954e+04
3.324169734275115862e-01 6.652074309357716686e+01 3.574680736416858417e+04
3.693521926972351266e-01 9.115008744052472878e+01 3.570793913749560306e+04
4.062874119669586115e-01 1.212247101578542043e+02 3.567966722695945646e+04
4.432226312366820964e-01 1.572876592022230966e+02 3.565813355851061351e+04
4.801578505064055813e-01 1.998833369050668693e+02 3.564135695864857553e+04
5.170930697761291217e-01 2.495561438152419100e+02 3.562803378224448534e+04
5.540282890458525511e-01 3.068504792740044422e+02 3.561727791682266252e+04
5.909635083155762025e-01 3.723107417818687281e+02 3.560847009774659819e+04
6.278987275852996319e-01 4.464813292398786757e+02 3.560116702355885354e+04
6.648339468550230613e-01 5.299066391125695645e+02 3.559504462146485457e+04
7.017691661247467128e-01 6.231310685406627954e+02 3.558986155334805517e+04
7.387043853944702532e-01 7.266990144206524747e+02 3.558543511428654165e+04
7.756396046641937936e-01 8.411548734620635059e+02 3.558162493901581911e+04
8.125748239339172230e-01 9.670430422293688935e+02 3.557832175465801993e+04
8.495100432036407634e-01 1.104907917173126862e+03 3.557543946997370222e+04
8.864452624733643038e-01 1.255293894653437974e+03 3.557290951636733371e+04
9.233804817430877332e-01 1.418745370957853083e+03 3.557067673700961313e+04
9.603157010128112736e-01 1.595806742315190149e+03 3.556869635842067510e+04
9.972509202825348140e-01 1.787022404906315387e+03 3.556693173067361204e+04
1.034186139552258465e+00 1.992936754872630900e+03 3.556535262113535282e+04
1.071121358821981673e+00 2.214094188322832451e+03 3.556393391206611705e+04
1.108056578091705324e+00 2.451039101338322325e+03 3.556265459643116628e+04
1.144991797361428976e+00 2.704315889977577172e+03 3.556149699637835874e+04
1.181927016631152405e+00 2.974468950279714136e+03 3.556044614969962277e+04
1.218862235900875834e+00 3.262042678267401243e+03 3.555948932424861414e+04
1.255797455170599486e+00 3.567581469949264829e+03 3.555861563070514967e+04
1.292732674440322915e+00 3.891629721321893612e+03 3.555781571156649443e+04
1.329667893710046345e+00 4.234731828371482152e+03 3.555708148968838941e+04
1.366603112979769774e+00 4.597432187075261027e+03 3.555640596369479317e+04
1.403538332249493426e+00 4.980275193402628247e+03 3.555578304053196189e+04
1.440473551519216855e+00 5.383805243316206543e+03 3.555520739765717008e+04
1.477408770788940506e+00 5.808566732772616888e+03 3.555467436901497422e+04
