# Thermal telescope noise for 331-dish configuration of HERA at z=12 calculated with 21cmSense
# This is just the thermal noise and excludes the EoR model-dependent cosmic variance
# Wavenumbers k are in 1/Mpc, Delta^2(k) is in mK^2, P(k) is in mK^2 * Mpc^3
# The power spectra are related by Delta^2(k) = P(k) * k^3 / (2*pi^2)
# 
# k Delta^2_noise(k) P_noise(k)
1.186897957958168576e-01 2.574534514264455787e+00 3.039403165768978943e+04
1.582530610610891342e-01 4.051765660450008077e+00 2.017983926387518295e+04
1.978163263263613969e-01 6.511931555317282516e+00 1.660554643709603261e+04
2.373795915916337151e-01 9.958878357617145127e+00 1.469636852795192681e+04
2.769428568569060056e-01 1.516042492478055870e+01 1.408868993834079447e+04
3.165061221221782684e-01 2.232135926313800667e+01 1.389645526881570186e+04
3.560693873874505311e-01 3.168038344435362674e+01 1.385212042252364699e+04
3.956326526527227938e-01 4.340110077274192690e+01 1.383420165316325620e+04
4.351959179179950565e-01 5.771165737144229269e+01 1.382098031524703401e+04
4.747591831832673193e-01 7.487081926949724675e+01 1.381090711802674014e+04
5.143224484485396930e-01 9.513755680392000613e+01 1.380305741944076726e+04
5.538857137138119002e-01 1.187708390939017136e+02 1.379682243417369500e+04
5.934489789790842185e-01 1.460296344307683682e+02 1.379178816910970818e+04
6.330122442443565367e-01 1.771729105279181908e+02 1.378766519644162145e+04
6.725755095096287439e-01 2.124596346857828735e+02 1.378424626691898993e+04
7.121387747749010622e-01 2.521487739035639777e+02 1.378137983493368301e+04
7.517020400401734914e-01 2.964992949566800462e+02 1.377895302077823908e+04
7.912653053054455876e-01 3.457701644515644261e+02 1.377688035413439684e+04
8.308285705707180169e-01 4.002203488651562679e+02 1.377509616174020266e+04
8.703918358359903351e-01 4.601088145738418689e+02 1.377354931120779111e+04
9.099551011012624313e-01 5.256945278749819863e+02 1.377219951321600456e+04
9.495183663665348606e-01 5.972364550031485351e+02 1.377101467572104411e+04
9.890816316318071788e-01 6.749935621425240697e+02 1.376996898162566504e+04
1.028644896897079386e+00 7.592248154364776838e+02 1.376904147240806378e+04
1.068208162162351593e+00 8.501891809950440120e+02 1.376821499108452372e+04
1.107771427427624022e+00 9.481456249008148234e+02 1.376747538399648147e+04
1.147334692692896230e+00 1.053353113213629513e+03 1.376681089146281010e+04
1.186897957958168437e+00 1.166070611974331541e+03 1.376621167790994150e+04
1.226461223223440866e+00 1.286557087207807172e+03 1.376566946615806592e+04
1.266024488488713073e+00 1.415071504925466797e+03 1.376517725029324902e+04
1.305587753753985281e+00 1.551872831127265044e+03 1.376472906840534233e+04
1.345151019019257710e+00 1.697220031803372422e+03 1.376431982134255486e+04
1.384714284284529917e+00 1.851372072935579581e+03 1.376394512713577933e+04
1.424277549549802124e+00 2.014587920498434642e+03 1.376360120329028723e+04
1.463840814815074554e+00 2.187126540460227716e+03 1.376328477101220415e+04
1.503404080080346983e+00 2.369246898783807865e+03 1.376299297681986172e+04
1.542967345345618968e+00 2.561207961427282044e+03 1.376272332802540950e+04
1.582530610610891175e+00 2.763268694344590131e+03 1.376247363935131216e+04
