# Thermal telescope noise for 331-dish configuration of HERA at z=7 calculated with 21cmSense
# This is just the thermal noise and excludes the EoR model-dependent cosmic variance
# Wavenumbers k are in 1/Mpc, Delta^2(k) is in mK^2, P(k) is in mK^2 * Mpc^3
# The power spectra are related by Delta^2(k) = P(k) * k^3 / (2*pi^2)
# 
# k Delta^2_noise(k) P_noise(k)
1.011157659018309951e-01 1.138155026136887932e-01 2.173074093379878377e+03
1.516736488527465065e-01 1.814186312706174975e-01 1.026316290949174572e+03
2.022315318036619902e-01 3.164429249337215588e-01 7.552287544483839383e+02
2.527894147545774461e-01 5.271464086183742515e-01 6.441460378556525939e+02
3.033472977054929576e-01 8.311653238397047616e-01 5.877555865915172717e+02
3.539051806564084690e-01 1.278123902954058089e+00 5.691699168146114971e+02
4.044630636073239804e-01 1.888332170655954156e+00 5.633412224052759711e+02
4.550209465582394364e-01 2.678443715501154010e+00 5.612005616525442520e+02
5.055788295091548923e-01 3.664938939477850433e+00 5.597960685711072983e+02
5.561367124600704592e-01 4.868939946117603057e+00 5.587524793138939003e+02
6.066945954109859152e-01 6.312198606813885782e+00 5.579560841294124884e+02
6.572524783619014821e-01 8.016467513278346502e+00 5.573346966615733891e+02
7.078103613128169380e-01 1.000349890321741597e+01 5.568406382041480356e+02
7.583682442637323939e-01 1.229504476882367925e+01 5.564414043173032951e+02
8.089261272146479609e-01 1.491285692820845021e+01 5.561142248991642418e+02
8.594840101655634168e-01 1.787868707354238040e+01 5.558427682575081690e+02
9.100418931164788727e-01 2.121428680420758894e+01 5.556150760550827954e+02
9.605997760673944397e-01 2.494140765008586058e+01 5.554222309490332918e+02
1.011157659018309785e+00 2.908180108821754573e+01 5.552574744420760453e+02
1.061715541969225463e+00 3.365721855491786840e+01 5.551156092444912247e+02
1.112273424920140918e+00 3.868941145472388854e+01 5.549925859827033037e+02
1.162831307871056374e+00 4.420013116709385059e+01 5.548852120598560305e+02
1.213389190821971830e+00 5.021112905148789451e+01 5.547909431082086940e+02
1.263947073772887508e+00 5.674415645126682506e+01 5.547077313165361829e+02
1.314504956723802964e+00 6.382096469671643035e+01 5.546339135812697805e+02
1.365062839674718642e+00 7.146330510741675823e+01 5.545681279701418589e+02
1.415620722625633876e+00 7.969292899411647113e+01 5.545092505979205271e+02
1.466178605576549554e+00 8.853158766022718851e+01 5.544563474090930413e+02
1.516736488527464788e+00 9.800103240302544805e+01 5.544086369774796594e+02
1.567294371478380466e+00 1.081230145146270303e+02 5.543654615381540225e+02
1.617852254429295922e+00 1.189192852827808053e+02 5.543262642343094058e+02
1.668410137380211600e+00 1.304115959915208691e+02 5.542905711011078438e+02
1.718968020331127056e+00 1.426216979217065841e+02 5.542579766924148998e+02
1.769525903282042512e+00 1.555713423514698377e+02 5.542281325325079706e+02
1.820083786232958190e+00 1.692822805565894555e+02 5.542007377757595350e+02
1.870641669183873423e+00 1.837762638108063413e+02 5.541755316048133864e+02
1.921199552134789101e+00 1.990750433860877706e+02 5.541522870071238458e+02
1.971757435085704335e+00 2.152003705528537694e+02 5.541308056515406406e+02
2.022315318036620013e+00 2.321739965801675396e+02 5.541109136482317581e+02
