# Thermal telescope noise for 331-dish configuration of HERA at z=25 calculated with 21cmSense
# This is just the thermal noise and excludes the EoR model-dependent cosmic variance
# Wavenumbers k are in 1/Mpc, Delta^2(k) is in mK^2, P(k) is in mK^2 * Mpc^3
# The power spectra are related by Delta^2(k) = P(k) * k^3 / (2*pi^2)
# 
# k Delta^2_noise(k) P_noise(k)
8.431046380327796019e-02 2.397410611851816498e+02 7.896374350524621084e+06
1.124139517377039515e-01 2.607884329831275068e+02 3.623743261232886463e+06
1.405174396721299568e-01 3.716587757267957386e+02 2.644133928523776587e+06
1.686209276065559204e-01 5.268621865204084997e+02 2.169163802882914897e+06
1.967244155409819395e-01 7.682652610317336439e+02 1.991893644269165583e+06
2.248279034754079031e-01 1.112549330814889800e+03 1.932406038015521364e+06
2.529313914098338945e-01 1.570708978286738784e+03 1.916096015791687183e+06
2.810348793442598581e-01 2.152568208862423035e+03 1.914282335787865333e+06
3.091383672786858772e-01 2.864001795347739971e+03 1.913569764915119391e+06
3.372418552131118408e-01 3.717200374876323622e+03 1.913027900734575000e+06
3.653453431475378599e-01 4.725050975484366063e+03 1.912605988367364276e+06
3.934488310819638235e-01 5.900441299724720011e+03 1.912271079965488520e+06
4.215523190163898426e-01 7.256259043693689819e+03 1.912000806541078025e+06
4.496558069508158062e-01 8.805391899022679354e+03 1.911779550069621298e+06
4.777592948852417698e-01 1.056072755417660301e+04 1.911596138881737133e+06
5.058627828196677889e-01 1.253515369532471232e+04 1.911442411116358358e+06
5.339662707540937525e-01 1.474155800693941273e+04 1.911312291780448984e+06
5.620697586885198271e-01 1.719282817221715231e+04 1.911201183823598549e+06
5.901732466229457907e-01 1.990185187338001560e+04 1.911105556824587984e+06
6.182767345573717543e-01 2.288151679189583956e+04 1.911022663266747724e+06
6.463802224917977179e-01 2.614471060864111860e+04 1.910950339101622580e+06
6.744837104262236815e-01 2.970432100402363722e+04 1.910886861155686900e+06
7.025871983606497562e-01 3.357323565807571140e+04 1.910830843592902180e+06
7.306906862950758308e-01 3.776434225052598049e+04 1.910781161670601927e+06
7.587941742295016834e-01 4.229052846085569035e+04 1.910736894866171526e+06
7.868976621639277580e-01 4.716468196834245464e+04 1.910697283948041266e+06
8.150011500983538326e-01 5.239969045209515753e+04 1.910661698216631776e+06
8.431046380327796852e-01 5.800844159108235181e+04 1.910629610252349405e+06
8.712081259672057598e-01 6.400382306415442144e+04 1.910600576267150929e+06
8.993116139016316124e-01 7.039872255006227351e+04 1.910574220682501560e+06
9.274151018360576870e-01 7.720602772747223207e+04 1.910550223925802857e+06
9.555185897704837616e-01 8.443862627497849462e+04 1.910528312700039940e+06
9.836220777049096142e-01 9.210940587111328205e+04 1.910508252169961110e+06
1.011725565639335578e+00 1.002312541943558317e+05 1.910489839645253262e+06
1.039829053573761541e+00 1.088170589231388731e+05 1.910472899441689719e+06
1.067932541508187727e+00 1.178797077358554670e+05 1.910457278675765498e+06
1.096036029442613691e+00 1.274320883108634735e+05 1.910442843803916592e+06
1.124139517377039654e+00 1.374870883264901349e+05 1.910429477759402012e+06
