# Thermal telescope noise for 331-dish configuration of HERA at z=9 calculated with 21cmSense
# This is just the thermal noise and excludes the EoR model-dependent cosmic variance
# Wavenumbers k are in 1/Mpc, Delta^2(k) is in mK^2, P(k) is in mK^2 * Mpc^3
# The power spectra are related by Delta^2(k) = P(k) * k^3 / (2*pi^2)
# 
# k Delta^2_noise(k) P_noise(k)
9.031357769236154909e-02 4.637829461411283050e-01 1.242754589559112355e+04
1.354703665385423306e-01 5.792851177888482805e-01 4.599273062956672220e+03
1.806271553847230982e-01 9.765711620379922131e-01 3.271029863624186419e+03
2.257839442309038380e-01 1.572816312364962776e+00 2.697295820108342923e+03
2.709407330770846056e-01 2.476157637809236700e+00 2.457452464574106671e+03
3.160975219232654565e-01 3.780112945901084487e+00 2.362496881313523772e+03
3.612543107694461963e-01 5.575219756714444586e+00 2.334278216144355611e+03
4.064110996156269362e-01 7.912896286703504423e+00 2.326850778774494756e+03
4.515678884618076760e-01 1.083440672546370465e+01 2.322553478130334497e+03
4.967246773079884714e-01 1.440080963946403081e+01 2.319366829216045971e+03
5.418814661541693223e-01 1.867658213135753442e+01 2.316937141223980689e+03
5.870382550003500066e-01 2.372621546930254866e+01 2.315042673395995735e+03
6.321950438465308020e-01 2.961420032242810052e+01 2.313537217855960989e+03
6.773518326927115973e-01 3.640502694897786995e+01 2.312321234030763208e+03
7.225086215388923927e-01 4.416318531834419758e+01 2.311325067500769364e+03
7.676654103850730770e-01 5.295316519236324382e+01 2.310498803592960030e+03
8.128221992312538724e-01 6.283945618078870154e+01 2.309805920837931808e+03
8.579789880774346678e-01 7.388654777997352596e+01 2.309219201889963642e+03
9.031357769236153521e-01 8.615892940037308279e+01 2.308718029300514445e+03
9.482925657697961475e-01 9.972109038644912005e+01 2.308286555247273554e+03
9.934493546159770538e-01 1.146375200313045610e+02 2.307912436877520577e+03
1.038606143462157849e+00 1.309727075876040772e+02 2.307585946067385521e+03
1.083762932308338645e+00 1.487911422758290598e+02 2.307299332121910084e+03
1.128919721154519218e+00 1.681573132905964201e+02 2.307046358527983102e+03
1.174076510000700013e+00 1.891357098055489985e+02 2.306821961499695590e+03
1.219233298846880809e+00 2.117908209771790382e+02 2.306621995062284896e+03
1.264390087693061604e+00 2.361871359478465422e+02 2.306443038495266592e+03
1.309546876539242399e+00 2.623891438481834939e+02 2.306282249296295504e+03
1.354703665385423195e+00 2.904613337990246578e+02 2.306137249773548774e+03
1.399860454231604212e+00 3.204681949129677605e+02 2.306006038757839633e+03
1.445017243077784785e+00 3.524742162956491711e+02 2.305886922272748961e+03
1.490174031923965581e+00 3.865438870467862102e+02 2.305778458650187531e+03
1.535330820770146598e+00 4.227416962610383848e+02 2.305679414752080902e+03
1.580487609616327171e+00 4.611321330287262299e+02 2.305588730802598093e+03
1.625644398462507967e+00 5.017796864364273688e+02 2.305505491948772033e+03
1.670801187308688762e+00 5.447488455674764509e+02 2.305428905117872546e+03
1.715957976154869558e+00 5.901040995023923870e+02 2.305358280073573951e+03
1.761114765001050131e+00 6.379099373192331086e+02 2.305293013822446483e+03
1.806271553847231148e+00 6.882308480939042283e+02 2.305232577710481110e+03
