# Thermal telescope noise for 331-dish configuration of HERA at z=20 calculated with 21cmSense
# This is just the thermal noise and excludes the EoR model-dependent cosmic variance
# Wavenumbers k are in 1/Mpc, Delta^2(k) is in mK^2, P(k) is in mK^2 * Mpc^3
# The power spectra are related by Delta^2(k) = P(k) * k^3 / (2*pi^2)
# 
# k Delta^2_noise(k) P_noise(k)
9.374639802604985139e-02 5.804266346311389668e+01 1.390635475325700827e+06
1.249951973680664824e-01 6.985946208501880506e+01 7.061142864003694849e+05
1.562439967100831273e-01 1.007896449396405529e+02 5.215976636173068546e+05
1.874927960520997583e-01 1.471902021557993123e+02 4.408134993415121571e+05
2.187415953941163338e-01 2.191566191357457853e+02 4.133236035997798317e+05
2.499903947361329648e-01 3.188847834764345635e+02 4.028965701424393919e+05
2.812391940781496236e-01 4.514559062114800554e+02 4.006060888629757683e+05
3.124879934201662546e-01 6.187814304662342693e+02 4.002828720825557830e+05
3.437367927621828301e-01 8.231865410172956672e+02 4.000828551197659108e+05
3.749855921041994056e-01 1.068313314792968868e+03 3.999306032175193541e+05
4.062343914462160366e-01 1.357863717200790461e+03 3.998120342275017756e+05
4.374831907882326676e-01 1.695539734942940868e+03 3.997179026903766789e+05
4.687319901302492986e-01 2.085043351399895982e+03 3.996419294426541892e+05
4.999807894722659296e-01 2.530076547650403427e+03 3.995797291318158386e+05
5.312295888142825051e-01 3.034341303138177864e+03 3.995281641677171574e+05
5.624783881562991361e-01 3.601539596120002443e+03 3.994849418391791405e+05
5.937271874983157671e-01 4.235373403974389475e+03 3.994483553793523461e+05
6.249759868403323981e-01 4.939544703418785502e+03 3.994171130779719097e+05
6.562247861823490291e-01 5.717755470665509165e+03 3.993902228220333345e+05
6.874735855243656601e-01 6.573707681535530355e+03 3.993669124347681645e+05
7.187223848663822912e-01 7.511103311542898155e+03 3.993465736699366244e+05
7.499711842083988111e-01 8.533644335958208103e+03 3.993287221624820377e+05
7.812199835504154422e-01 9.645032729857008235e+03 3.993129683446083218e+05
8.124687828924321842e-01 1.084897046815704198e+04 3.992989960260638036e+05
8.437175822344488152e-01 1.214915952564731742e+04 3.992865464147018502e+05
8.749663815764653352e-01 1.354930187701102295e+04 3.992754060538050835e+05
9.062151809184819662e-01 1.505309949684360072e+04 3.992653976163096959e+05
9.374639802604985972e-01 1.666425435966738223e+04 3.992563728081058362e+05
9.687127796025153392e-01 1.838646843994331357e+04 3.992482068457782734e+05
9.999615789445318592e-01 2.022344371208044686e+04 3.992407941219242639e+05
1.031210378286548490e+00 2.217888215044387834e+04 3.992340447749163141e+05
1.062459177628565010e+00 2.425648572936110941e+04 3.992278819537080708e+05
1.093707976970581752e+00 2.645995642312745622e+04 3.992222396212851163e+05
1.124956776312598494e+00 2.879299620601043716e+04 3.992170607788634952e+05
1.156205575654615014e+00 3.125930705225359998e+04 3.992122960211931495e+05
1.187454374996631534e+00 3.386259093607959221e+04 3.992079023542497307e+05
1.218703174338648276e+00 3.660654983169291518e+04 3.992038422222366789e+05
1.249951973680664796e+00 3.949488571328206308e+04 3.992000827025951003e+05
