# Thermal telescope noise for 331-dish configuration of HERA at z=8 calculated with 21cmSense
# This is just the thermal noise and excludes the EoR model-dependent cosmic variance
# Wavenumbers k are in 1/Mpc, Delta^2(k) is in mK^2, P(k) is in mK^2 * Mpc^3
# The power spectra are related by Delta^2(k) = P(k) * k^3 / (2*pi^2)
# 
# k Delta^2_noise(k) P_noise(k)
9.526588758348723818e-02 2.018820791459030040e-01 4.609090711629089128e+03
1.428988313752308503e-01 3.282555672042904993e-01 2.220525730946935255e+03
1.905317751669744764e-01 5.768004780140607579e-01 1.646088236834330473e+03
2.381647189587181024e-01 9.317234050080099861e-01 1.361395986408869703e+03
2.857976627504617562e-01 1.471849072576477457e+00 1.244563331233781355e+03
3.334306065422052989e-01 2.264441771452567753e+00 1.205797867038615550e+03
3.810635503339489527e-01 3.342643557655126330e+00 1.192415412676727783e+03
4.286964941256925510e-01 4.743151465845455661e+00 1.188357027827392358e+03
4.763294379174362048e-01 6.492507575899146843e+00 1.185823189056076671e+03
5.239623817091798585e-01 8.627816693428060901e+00 1.183941728717198885e+03
5.715953255009234013e-01 1.118767528613738094e+01 1.182506640992015946e+03
6.192282692926670551e-01 1.421068123407696682e+01 1.181387345424172281e+03
6.668612130844107089e-01 1.773543194849935034e+01 1.180497677402795489e+03
7.144941568761542516e-01 2.180052451756855803e+01 1.179778939969010253e+03
7.621271006678979054e-01 2.644455580147745266e+01 1.179190039828532690e+03
8.097600444596414482e-01 3.170612249612706535e+01 1.178701517900945191e+03
8.573929882513851020e-01 3.762382117675119275e+01 1.178291812707898771e+03
9.050259320431287557e-01 4.423624832843229626e+01 1.177944851414986942e+03
9.526588758348724095e-01 5.158200036785574838e+01 1.177648455913264570e+03
1.000291819626615952e+00 5.969967365908687640e+01 1.177393263565903681e+03
1.047924763418359495e+00 6.862786452519272018e+01 1.177171981209580963e+03
1.095557707210103260e+00 7.840516925692782024e+01 1.176978859853934409e+03
1.143190651001846803e+00 8.907018411930845048e+01 1.176809318531673853e+03
1.190823594793590345e+00 1.006615053566506504e+02 1.176659670814997526e+03
1.238456538585334110e+00 1.132177291964735844e+02 1.176526923192420554e+03
1.286089482377077653e+00 1.267774518525532130e+02 1.176408624518032866e+03
1.333722426168821418e+00 1.413792695273351967e+02 1.176302752271313921e+03
1.381355369960564738e+00 1.570617784138589172e+02 1.176207625692998363e+03
1.428988313752308503e+00 1.738635746973020275e+02 1.176121838779060681e+03
1.476621257544052046e+00 1.918232545562316034e+02 1.176044208110608224e+03
1.524254201335795811e+00 2.109794141636233746e+02 1.175973731882007769e+03
1.571887145127539354e+00 2.313706496876999381e+02 1.175909557462885687e+03
1.619520088919282896e+00 2.530355572926210925e+02 1.175850955521902733e+03
1.667153032711026661e+00 2.760127331390591507e+02 1.175797299238426831e+03
1.714785976502770204e+00 3.003407733846771066e+02 1.175748047490326826e+03
1.762418920294513969e+00 3.260582741845330474e+02 1.175702731172118774e+03
1.810051864086257511e+00 3.532038316914188840e+02 1.175660941994764926e+03
1.857684807878001054e+00 3.818160420561494561e+02 1.175622323265816476e+03
1.905317751669744819e+00 4.119335014278059930e+02 1.175586562259679113e+03
