# Thermal telescope noise for 331-dish configuration of HERA at z=16 calculated with 21cmSense
# This is just the thermal noise and excludes the EoR model-dependent cosmic variance
# Wavenumbers k are in 1/Mpc, Delta^2(k) is in mK^2, P(k) is in mK^2 * Mpc^3
# The power spectra are related by Delta^2(k) = P(k) * k^3 / (2*pi^2)
# 
# k Delta^2_noise(k) P_noise(k)
1.041932960471940867e-01 1.382801823476909853e+01 2.413072411991238769e+05
1.389243947295921155e-01 1.837901744416765837e+01 1.353058242001764302e+05
1.736554934119901583e-01 2.839185649050877558e+01 1.070182766843791760e+05
2.083865920943881733e-01 4.279785751787521519e+01 9.335604668303451035e+04
2.431176907767861883e-01 6.441119390297258462e+01 8.847924420622969046e+04
2.778487894591842311e-01 9.439942611207555956e+01 8.687074943559699750e+04
3.125798881415822184e-01 1.339024657891001198e+02 8.654365270822669845e+04
3.473109868239803166e-01 1.835046680460132791e+02 8.646120650999162172e+04
3.820420855063783594e-01 2.440814106880708323e+02 8.640339838237619551e+04
4.167731841887763466e-01 3.167226105626102708e+02 8.635937793412341853e+04
4.515042828711743894e-01 4.025250495240209716e+02 8.632508810847088171e+04
4.862353815535723767e-01 5.025855068416822746e+02 8.629786047232526471e+04
5.209664802359704749e-01 6.180007600382347164e+02 8.627588186936076090e+04
5.556975789183684622e-01 7.498675854226452202e+02 8.625788551641661616e+04
5.904286776007665605e-01 8.992827584398851286e+02 8.624296478918375215e+04
6.251597762831645477e-01 1.067343053906611885e+03 8.623045702843868639e+04
6.598908749655625350e-01 1.255145246173879286e+03 8.621986882582874387e+04
6.946219736479606333e-01 1.463786109241882741e+03 8.621082669534927118e+04
7.293530723303586205e-01 1.694362416842425546e+03 8.620304373358414159e+04
7.640841710127566078e-01 1.947970942499211333e+03 8.619629661041116924e+04
7.988152696951545950e-01 2.225708459572606444e+03 8.619040938835822453e+04
8.335463683775525823e-01 2.528671741293351261e+03 8.618524194948574586e+04
8.682774670599506806e-01 2.857957560788237515e+03 8.618068158942523587e+04
9.030085657423486678e-01 3.214662691099955282e+03 8.617663682557271386e+04
9.377396644247466551e-01 3.599883905202549158e+03 8.617303277725518274e+04
9.724707631071447533e-01 4.014717976013579573e+03 8.616980767784398631e+04
1.007201861789542852e+00 4.460261676403816637e+03 8.616691021264057781e+04
1.041932960471940728e+00 4.937611779204968116e+03 8.616429746645793784e+04
1.076664059154338826e+00 5.447865057215972229e+03 8.616193332640311564e+04
1.111395157836736924e+00 5.992118283208072171e+03 8.615978722804583958e+04
1.146126256519134801e+00 6.571468229928998880e+03 8.615783316313156683e+04
1.180857355201532899e+00 7.187011670106407109e+03 8.615604888830329583e+04
1.215588453883930997e+00 7.839845376450746699e+03 8.615441528961365111e+04
1.250319552566328873e+00 8.531066121657611802e+03 8.615291586873571214e+04
1.285050651248726972e+00 9.261770678409775428e+03 8.615153632495230704e+04
1.319781749931124848e+00 1.003305581937885654e+04 8.615026421304960968e+04
1.354512848613523168e+00 1.084601831722672978e+04 8.614908866176301672e+04
1.389243947295921267e+00 1.170175494460677146e+04 8.614800014083196584e+04
